u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,access,junction,tunnel
360933095,360923445,0,498521945,2,17,Highway 17,motorway,100,False,True,973.546,,"LINESTRING (-81.1761356 46.4191262, -81.1719417 46.4201301, -81.1643915 46.4224413)",,,
360976811,360977194,0,479505722,,55,Old Highway 17,primary,,False,True,39.919,,"LINESTRING (-81.3473253 46.3769167, -81.34689 46.37672)",,,
360976811,654589904,0,"[272633736, 386217525]",,17,Highway 17,trunk,"['100', '90']",True,False,1177.0549999999998,,"LINESTRING (-81.3473253 46.3769167, -81.3484895 46.3761115, -81.3488929 46.3758835, -81.3493839 46.375638, -81.3498222 46.3754451, -81.3504711 46.3751996, -81.3513128 46.3749716, -81.3526454 46.3747086, -81.3566786 46.3741475, -81.3576796 46.3740071, -81.3614851 46.3734842)",,,
360976845,360977936,0,32151568,,,,trunk_link,,True,False,221.38,,"LINESTRING (-81.3480356 46.3758891, -81.3478781 46.3759371, -81.34727 46.3763, -81.347073 46.3764082, -81.3469799 46.3764499, -81.3468768 46.3764763, -81.34677 46.37649, -81.3466482 46.37649, -81.3465389 46.3764734, -81.3464463 46.3764516, -81.3461217 46.3763323, -81.3457517 46.3762253, -81.34553 46.3761899)",,,
360976845,360977194,0,479505724,,17,Highway 17,trunk,100,True,False,127.566,,"LINESTRING (-81.3480356 46.3758891, -81.3479175 46.3759732, -81.3473876 46.3763362, -81.34689 46.37672)",,,
360977194,360976811,0,479505722,,55,Old Highway 17,primary,,False,False,39.919,,"LINESTRING (-81.34689 46.37672, -81.3473253 46.3769167)",,,
360977194,360856686,0,"[241993761, 32143623, 272633735, 32149545, 206614895, 206614897, 241993758]",2,17,Highway 17,motorway,100,True,False,14378.273,yes,"LINESTRING (-81.34689 46.37672, -81.3440005 46.3792152, -81.3272542 46.3935065, -81.3254831 46.3949093, -81.3241154 46.3958387, -81.3223794 46.3967856, -81.3198367 46.3978903, -81.317978 46.398469, -81.3145578 46.3993386, -81.3131863 46.3996791, -81.3036516 46.4020462, -81.2920607 46.4049395, -81.2897846 46.4052678, -81.2884748 46.4053405, -81.2859233 46.4053253, -81.2843627 46.4051149, -81.2828721 46.4048518, -81.2816973 46.4045363, -81.2806276 46.4042031, -81.2661083 46.3993984, -81.264232 46.3988548, -81.2626889 46.3985041, -81.2607951 46.3982586, -81.2588487 46.3981007, -81.2566743 46.3981534, -81.2551205 46.3982954, -81.2539509 46.3984273, -81.2531743 46.3985444, -81.2524419 46.3986941, -81.2514148 46.3989255, -81.2504492 46.3992008, -81.2424706 46.4013623, -81.2327705 46.403887, -81.2228134 46.4065703, -81.2196922 46.407675, -81.2184288 46.4082318, -81.2165863 46.4092553, -81.2147865 46.410302, -81.2111509 46.4124146, -81.2092804 46.4134199, -81.2083218 46.4138408, -81.2067085 46.4144954, -81.2035522 46.4155008, -81.2011907 46.416132, -81.1986891 46.4165763, -81.1963743 46.4168568, -81.1942068 46.4170262, -81.1933816 46.4170907, -81.1890687 46.4173976, -81.18409 46.4177099)",,,
360977194,360977936,0,479505723,,55,Old Highway 17,primary,,False,True,119.879,,"LINESTRING (-81.34689 46.37672, -81.3461608 46.3764186, -81.34553 46.3761899)",,,
360977936,413184059,0,"[32151554, 206614756]",3,55,Old Highway 17,primary,,False,True,208.15499999999997,,"LINESTRING (-81.34553 46.3761899, -81.3452746 46.3761093, -81.344995 46.3760505, -81.3447031 46.3760067, -81.3443796 46.3759898, -81.3438228 46.3759962, -81.3428725 46.3760908)",,,
360977936,360977194,0,479505723,,55,Old Highway 17,primary,,False,False,119.879,,"LINESTRING (-81.34553 46.3761899, -81.3461608 46.3764186, -81.34689 46.37672)",,,
